frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.104212384024041,-0.00535956401387948,6,60
0.1,0.101872304227233,-0.00509169931383992,6,60
0.2,0.100062904777152,-0.00316912678747322,6,60
0.4,0.0997448025570359,-0.0021652121384684,6,60
1.0,0.0986649065395941,-0.00199431391356148,6,60
2.0,0.0979571929547857,-0.00224186734257205,6,60
4.0,0.0973492074252589,-0.00233919720759848,6,60
10.0,0.0958423798667863,-0.00340505762654298,6,60
20.0,0.0941426079605012,-0.00431729790870827,6,60
40.0,0.092009947149564,-0.00482967149165653,6,60
100.0,0.0885501979856208,-0.00507464261714151,6,60
200.0,0.0860785532205486,-0.00473995043505086,6,60
400.0,0.0839234803421226,-0.00402211492162932,6,60
1000.0,0.0816557430959182,-0.00301756881291279,6,60
