frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.101165137572459,-0.00380137214558109,8,50
0.1,0.0997440329797017,-0.00306619555076683,8,50
0.2,0.098948199841884,-0.00200925399175037,8,50
0.4,0.0985846743803524,-0.0014474916913216,8,50
1.0,0.097852544441762,-0.00150299324976286,8,50
2.0,0.0974688174820136,-0.00163555833314285,8,50
4.0,0.096979706570222,-0.00203067068794394,8,50
10.0,0.0955605577062385,-0.00319156440824271,8,50
20.0,0.0937260938598089,-0.0042210973690921,8,50
40.0,0.0915527846222489,-0.00490298667845568,8,50
100.0,0.0881613035787458,-0.00508883826318098,8,50
200.0,0.0857410796483862,-0.00475010637996057,8,50
400.0,0.0836321726753439,-0.00413221915933806,8,50
1000.0,0.0813075026765663,-0.0029939828726162,8,50
