frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.106479221522504,-0.00408577375972268,5,20
0.1,0.104891278165587,-0.00338871852101141,5,20
0.2,0.103957044967893,-0.0022404286625277,5,20
0.4,0.103603224203528,-0.00165680357764716,5,20
1.0,0.102912433571578,-0.00198602185970679,5,20
2.0,0.102275170317245,-0.00240583131731446,5,20
4.0,0.101361508283601,-0.00300355315943448,5,20
10.0,0.0991146279429543,-0.0045323922375159,5,20
20.0,0.096524838774596,-0.00546119799344121,5,20
40.0,0.0937748476172156,-0.00586536789369215,5,20
100.0,0.0900704416087798,-0.00571462856042793,5,20
200.0,0.0872740088222761,-0.00524269763729044,5,20
400.0,0.0850786105872313,-0.00445137625914681,5,20
1000.0,0.0826589990528563,-0.00328564870162882,5,20
