frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.103499123719109,-0.00526652555537031,6,90
0.1,0.101764037603013,-0.00409293186606246,6,90
0.2,0.100679341302606,-0.00270544893352657,6,90
0.4,0.100030199734917,-0.00201481574318631,6,90
1.0,0.0990584497625868,-0.0017736038889771,6,90
2.0,0.0985312809668916,-0.00195328131355855,6,90
4.0,0.0978858442003185,-0.00226263791717704,6,90
10.0,0.0963706396226792,-0.00341531999570736,6,90
20.0,0.0945809238332371,-0.00433999177393247,6,90
40.0,0.0923334069319045,-0.00507941847731312,6,90
100.0,0.0887132960030156,-0.00530291038105082,6,90
200.0,0.0862041879537188,-0.00497018722990238,6,90
400.0,0.0839007443112051,-0.00436357792780264,6,90
1000.0,0.0815954773787123,-0.00312748830374714,6,90
