frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.103964272599102,-0.00551743972154986,8,60
0.1,0.101385137078333,-0.00511343033168797,8,60
0.2,0.0997067480984833,-0.00313202416962553,8,60
0.4,0.0993013076147633,-0.00217271828787049,8,60
1.0,0.0981031139062009,-0.00201496146848968,8,60
2.0,0.0975023186837393,-0.00220011715080539,8,60
4.0,0.096815606565695,-0.00232124642045293,8,60
10.0,0.0951995647615535,-0.00337765317622402,8,60
20.0,0.0935190130183219,-0.00415517756641627,8,60
40.0,0.0912755133154448,-0.00486683302321027,8,60
100.0,0.0880807324121245,-0.00507060433027281,8,60
200.0,0.085578939659737,-0.00474439595676582,8,60
400.0,0.0834801975154181,-0.00409528027078086,8,60
1000.0,0.0812034709773343,-0.00292997182723777,8,60
