frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.1156983967893,-0.00601861605061486,6,10
0.1,0.113679729421131,-0.00500484110888334,6,10
0.2,0.112162306421782,-0.00388280583389,6,10
0.4,0.111140957295007,-0.00340991846540655,6,10
1.0,0.109360173237661,-0.00393663816416866,6,10
2.0,0.107629980497715,-0.00481944883129529,6,10
4.0,0.105293035228054,-0.0056339512979865,6,10
10.0,0.10133332404455,-0.00635437681340612,6,10
20.0,0.0982065402218497,-0.00646623190765007,6,10
40.0,0.0953789639724087,-0.00628460321154155,6,10
100.0,0.0916030324064588,-0.00588923178308006,6,10
200.0,0.08902766474811,-0.00532125991441708,6,10
400.0,0.0868005062043273,-0.00457427591629531,6,10
1000.0,0.0841945174437077,-0.00340953656914168,6,10
