frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.102993670752569,-0.00364543722794524,5,30
0.1,0.10177514956781,-0.00276861322801271,5,30
0.2,0.10113470079214,-0.00191891273027022,5,30
0.4,0.100848606788718,-0.00135292578892736,5,30
1.0,0.100241262635559,-0.00150540810838159,5,30
2.0,0.0997676725317949,-0.00179562210912711,5,30
4.0,0.0991261129082069,-0.00245230113593919,5,30
10.0,0.0973882032598443,-0.00371335523696609,5,30
20.0,0.0953421653562729,-0.00481773929749523,5,30
40.0,0.0928068591361188,-0.00543893223699653,5,30
100.0,0.089045104969852,-0.0054507773858892,5,30
200.0,0.0864224412200734,-0.00505046913987113,5,30
400.0,0.084250788327923,-0.00423905019027141,5,30
1000.0,0.0818746280758626,-0.00315408198119846,5,30
