frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.103357718369093,-0.00576054434196489,8,80
0.1,0.101491033375989,-0.00441693901081871,8,80
0.2,0.100160484352179,-0.00302839509216172,8,80
0.4,0.0996284878332294,-0.00222169636701451,8,80
1.0,0.0984585440401436,-0.00188071179783751,8,80
2.0,0.0979148341978915,-0.00194678935756639,8,80
4.0,0.0973267064267942,-0.00218699269833818,8,80
10.0,0.0960232399704583,-0.00288623177795844,8,80
20.0,0.0944205581499373,-0.00375116828740732,8,80
40.0,0.0925442449629557,-0.00440133483118585,8,80
100.0,0.0894222778708899,-0.0047573256603942,8,80
200.0,0.0870842287721548,-0.00459620730573043,8,80
400.0,0.0849674047623952,-0.00407334316726506,8,80
1000.0,0.082873131435156,-0.00294653396173901,8,80
