frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.106242719913271,-0.00545070195722552,6,90
0.1,0.104334492016215,-0.00435519474832868,6,90
0.2,0.10322717230118,-0.002939339047139,6,90
0.4,0.102579849601778,-0.00223793501503259,6,90
1.0,0.101482465575362,-0.0019920884873378,6,90
2.0,0.100907959970681,-0.00214601149635776,6,90
4.0,0.100175900682416,-0.00256219033512339,6,90
10.0,0.0985508300389253,-0.00370369122070014,6,90
20.0,0.0964982012569232,-0.00482509579461508,6,90
40.0,0.0939050364982488,-0.00546107617345158,6,90
100.0,0.0901884496045167,-0.00562288531624065,6,90
200.0,0.0874589120043241,-0.00523841098933954,6,90
400.0,0.0852282583558853,-0.00431705831143625,6,90
1000.0,0.0828005118291274,-0.00323814636284334,6,90
