frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.102613944702713,-0.00490642245304121,3,100
0.1,0.101758034304762,-0.00301615515329031,3,100
0.2,0.101138784020158,-0.00212150907754813,3,100
0.4,0.100590126534699,-0.00167187235120507,3,100
1.0,0.0998846066970268,-0.00155284922673877,3,100
2.0,0.0993904224728057,-0.00162685554671312,3,100
4.0,0.0988669235508897,-0.00205785863496557,3,100
10.0,0.0976469804790732,-0.0033389628201432,3,100
20.0,0.0956896088898456,-0.00461008360375413,3,100
40.0,0.0931309525772163,-0.00543878181880251,3,100
100.0,0.0894128919977258,-0.0056212441861637,3,100
200.0,0.0867420604705056,-0.00523586459839028,3,100
400.0,0.0843102958423166,-0.00450406449119369,3,100
1000.0,0.0819075454602378,-0.00332484683769535,3,100
