frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.105981283969412,-0.00610395460779428,3,80
0.1,0.103937329695172,-0.00486163831357676,3,80
0.2,0.102645761390575,-0.00329310811348099,3,80
0.4,0.101934526237339,-0.00238373255515998,3,80
1.0,0.100817055849959,-0.00220137686607331,3,80
2.0,0.100054846049329,-0.00232186560510802,3,80
4.0,0.0993822201917914,-0.00270814068838311,3,80
10.0,0.097665266575125,-0.00396789493793101,3,80
20.0,0.0956283134725254,-0.00498768948236169,3,80
40.0,0.0929311088639663,-0.00579646459111866,3,80
100.0,0.0889127369661584,-0.0058087850259985,3,80
200.0,0.086165483570766,-0.00537399630944294,3,80
400.0,0.0837317047965554,-0.00449443031559382,3,80
1000.0,0.0814116709681353,-0.00316569932964851,3,80
