frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.105629445615408,-0.00626473779281399,6,70
0.1,0.103649203399543,-0.00487166477773989,6,70
0.2,0.102288175637286,-0.0033118260734343,6,70
0.4,0.101554954834035,-0.00241122561848038,6,70
1.0,0.100451625122302,-0.00206471133233052,6,70
2.0,0.0996912851264728,-0.00217291766428019,6,70
4.0,0.099011073620462,-0.00233427351959187,6,70
10.0,0.0975401422363605,-0.00344738000895704,6,70
20.0,0.0957329441460298,-0.00419002838782615,6,70
40.0,0.0934552027210659,-0.00495327981147909,6,70
100.0,0.0900619503072376,-0.00524767201426422,6,70
200.0,0.0875223816768558,-0.00481101443729244,6,70
400.0,0.0853547248995346,-0.00418603264121159,6,70
1000.0,0.0831060949397478,-0.00309036881295163,6,70
