frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.10533269677075,-0.00540488137860148,5,90
0.1,0.103566207314193,-0.00427538356294736,5,90
0.2,0.102283813778892,-0.00284622300518761,5,90
0.4,0.10181445449515,-0.00221984882696388,5,90
1.0,0.100744102582858,-0.00191746330482489,5,90
2.0,0.100048584382277,-0.0020803220392042,5,90
4.0,0.0994751065247715,-0.00245304950389815,5,90
10.0,0.0979396175321829,-0.0036289558148234,5,90
20.0,0.0959502227185828,-0.0047152273327164,5,90
40.0,0.0934539821242069,-0.00551353926265938,5,90
100.0,0.0896362532459943,-0.00558064759325119,5,90
200.0,0.0870320646533752,-0.00510256499851115,5,90
400.0,0.0847390658945689,-0.00440676087638074,5,90
1000.0,0.0823580999164688,-0.00320836589452515,5,90
