frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.10100983919867,-0.00372033135277513,5,40
0.1,0.0998966550168488,-0.00278660638211554,5,40
0.2,0.0991912333912143,-0.00184541630855739,5,40
0.4,0.0988582441692185,-0.00137997537485977,5,40
1.0,0.0982408557798384,-0.00151913607862744,5,40
2.0,0.0977687886260852,-0.0017850361597959,5,40
4.0,0.0971907445240028,-0.00230737192034334,5,40
10.0,0.0955119773804142,-0.00382657115226879,5,40
20.0,0.0933198489485493,-0.0049337195061628,5,40
40.0,0.090830558220952,-0.00547661095674985,5,40
100.0,0.0872093140062404,-0.0056153727008143,5,40
200.0,0.084466928883039,-0.00512967931658074,5,40
400.0,0.0821212363429572,-0.00454337484030868,5,40
1000.0,0.0796311909978235,-0.00348845584580771,5,40
