frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.102319786063023,-0.00366168216026469,7,40
0.1,0.101005597724038,-0.00269414108859012,7,40
0.2,0.100516124800309,-0.00177620707823314,7,40
0.4,0.100198304087514,-0.00140106978689711,7,40
1.0,0.0994603447577115,-0.00146260672360998,7,40
2.0,0.098951525788423,-0.00180082809153574,7,40
4.0,0.0984944148386876,-0.00238399302665735,7,40
10.0,0.0967226698079618,-0.0034640683687478,7,40
20.0,0.0948150675250967,-0.00456668030419258,7,40
40.0,0.0922763242279548,-0.00513469613601209,7,40
100.0,0.0889495377978224,-0.00533607813397638,7,40
200.0,0.0863545007612382,-0.00506296475417801,7,40
400.0,0.0842442939832641,-0.00443744276629922,7,40
1000.0,0.0816469182276099,-0.00333149817440425,7,40
