frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.106987718187658,-0.00568010600890887,4,90
0.1,0.104979305281898,-0.00447646657812095,4,90
0.2,0.103673465657959,-0.00310358891951169,4,90
0.4,0.103123566133513,-0.00242474867575125,4,90
1.0,0.102046364663213,-0.00225912216929385,4,90
2.0,0.101203233019954,-0.00258341041167829,4,90
4.0,0.100305764902652,-0.00345999992771612,4,90
10.0,0.098198115890178,-0.00483369459409122,4,90
20.0,0.095436171602198,-0.00614477267617594,4,90
40.0,0.0923355588682134,-0.00660261567092944,4,90
100.0,0.0878813251276664,-0.00661226197701581,4,90
200.0,0.0849259578795996,-0.0059383463309026,4,90
400.0,0.0823315750903802,-0.00510315487553893,4,90
1000.0,0.0796757287148572,-0.00383132282450144,4,90
