frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.100378152787115,-0.00395404888606106,9,50
0.1,0.0990214242508561,-0.00318209351787578,9,50
0.2,0.0981859630294418,-0.0020777732053184,9,50
0.4,0.097668096000401,-0.00155854670842185,9,50
1.0,0.0971990305138881,-0.00141352174270876,9,50
2.0,0.0966676185386202,-0.00184779025504907,9,50
4.0,0.0961508324850663,-0.00236068260628822,9,50
10.0,0.0944958811698827,-0.00322782982212297,9,50
20.0,0.0928334868935865,-0.00419164103347961,9,50
40.0,0.0904792073557654,-0.00475433017928805,9,50
100.0,0.0873334322013383,-0.00493296955530436,9,50
200.0,0.0849756044212249,-0.00469688493815812,9,50
400.0,0.0828084575492814,-0.00416716603816117,9,50
1000.0,0.0804312186803962,-0.00328901077412735,9,50
