frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.119854674464417,-0.00663614474778707,6,10
0.1,0.117775223840685,-0.00545409586833128,6,10
0.2,0.116169330941569,-0.00429664528608898,6,10
0.4,0.114960993974364,-0.00437934469937773,6,10
1.0,0.112423765005973,-0.00493228538201677,6,10
2.0,0.110225887974625,-0.00607806141593812,6,10
4.0,0.107022903188785,-0.00675681011324327,6,10
10.0,0.102503745406145,-0.0076534191497646,6,10
20.0,0.0987489883913156,-0.0074327809979468,6,10
40.0,0.0954190510861984,-0.00710213744004396,6,10
100.0,0.0912486706948008,-0.00676592569455267,6,10
200.0,0.0882188819062852,-0.00602196063469954,6,10
400.0,0.0857721093335733,-0.00535243994939803,6,10
1000.0,0.0828667425216352,-0.00371075859091611,6,10
