frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.107897880868589,-0.00637122676370616,6,80
0.1,0.105714121585003,-0.00521470099705478,6,80
0.2,0.104265017391613,-0.00360438670025609,6,80
0.4,0.103386768274468,-0.00277855684962312,6,80
1.0,0.10199483259598,-0.00249362766614642,6,80
2.0,0.101109668978784,-0.00287961184529878,6,80
4.0,0.100007520871656,-0.00347561477098304,6,80
10.0,0.0979139306035554,-0.00451736022455513,6,80
20.0,0.0955488639622395,-0.00566713528297292,6,80
40.0,0.0925886796916463,-0.00618963447245542,6,80
100.0,0.0886148647331801,-0.00636031031395156,6,80
200.0,0.0855154778602541,-0.0056173420461462,6,80
400.0,0.0830335444513739,-0.00492232601522179,6,80
1000.0,0.0802607015012278,-0.00348545273451304,6,80
