frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.103850963666948,-0.00599573617939111,9,80
0.1,0.101787032389879,-0.00472752973729589,9,80
0.2,0.100280467875293,-0.00349680248221115,9,80
0.4,0.0993417666234198,-0.00257731745590198,9,80
1.0,0.0981240401507091,-0.0024460302920714,9,80
2.0,0.0971835027866093,-0.00280262164902744,9,80
4.0,0.0962271201686025,-0.00302545167641537,9,80
10.0,0.0941961284505768,-0.00420953305730019,9,80
20.0,0.092008770173348,-0.00519434310463858,9,80
40.0,0.0895254229825943,-0.00571057090940901,9,80
100.0,0.0855133207130155,-0.00564345239737354,9,80
200.0,0.0828016580411442,-0.00529705115035733,9,80
400.0,0.0803821954264115,-0.00468881204257749,9,80
1000.0,0.0779244125489943,-0.00351472725559285,9,80
