frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.103085428468248,-0.00561827761088622,8,90
0.1,0.100962143446812,-0.00440675015174541,8,90
0.2,0.0996874171105469,-0.00307101845762821,8,90
0.4,0.0990058872627855,-0.00254916796006008,8,90
1.0,0.097906139315793,-0.0023098332581701,8,90
2.0,0.0970448845894877,-0.00259400263489651,8,90
4.0,0.0959840277338096,-0.00313937726404952,8,90
10.0,0.0940160385359196,-0.0042715126526434,8,90
20.0,0.0917012239114109,-0.0054764955361819,8,90
40.0,0.088947746406311,-0.00589981468313282,8,90
100.0,0.0850012740452104,-0.00600937810502607,8,90
200.0,0.0822597448256388,-0.00564725748198857,8,90
400.0,0.0796691028226856,-0.00485062813356458,8,90
1000.0,0.0770175261004553,-0.00343215343067399,8,90
