frequency_hz,impedance_real,impedance_imag,temp_code,soc
0.05,0.104399192872869,-0.00412599197349454,8,20
0.1,0.10293233515227,-0.00348272904323616,8,20
0.2,0.101848125047947,-0.00242999137086923,8,20
0.4,0.101380717935417,-0.00203742218045598,8,20
1.0,0.100403095652068,-0.00221602215024099,8,20
2.0,0.0996733794894834,-0.00285287734891454,8,20
4.0,0.0982520631471084,-0.00371180373279475,8,20
10.0,0.0955608593999997,-0.0050986076892131,8,20
20.0,0.0929992933177368,-0.005666705098149,8,20
40.0,0.0899497350022225,-0.00598938914704283,8,20
100.0,0.0862301819909377,-0.00565658380925513,8,20
200.0,0.0836310795108641,-0.00539416487628968,8,20
400.0,0.0812745090563515,-0.00462338212705248,8,20
1000.0,0.0786401880244029,-0.00365904694432177,8,20
